slice,selected_modality,selected_candidate,unsupervised_score,iou_after_selection,area_ratio,contrast,edge_alignment,solidity,compactness,agreement,border_fraction
volume_78_slice_75.h5,modality_1,adaptive_21_7_inverted_component_2,1.000826,0.034766,0.211424,1.000000,1.000000,0.959522,0.536180,0.137954,0.000000
volume_51_slice_92.h5,modality_0,chan_vese_normal_component_1,1.005132,0.225786,0.245208,1.000000,1.000000,0.967621,0.714584,0.199772,0.000000
volume_354_slice_69.h5,modality_0,adaptive_31_5_inverted_component_2,1.003494,0.217382,0.235417,1.000000,1.000000,0.963384,0.687085,0.179721,0.000000
volume_153_slice_99.h5,modality_0,multi_otsu_class_1_normal_component_1,1.009111,0.000651,0.245885,1.000000,1.000000,0.982068,0.816745,0.236013,0.000000
volume_349_slice_110.h5,modality_0,random_walker_dark_inverted_component_1,1.008620,0.186245,0.231736,1.000000,1.000000,0.981201,0.827890,0.228807,0.000000
volume_326_slice_78.h5,modality_0,multi_otsu_class_1_normal_component_1,1.007861,0.015078,0.249688,1.000000,1.000000,0.980914,0.844484,0.214473,0.000000
volume_259_slice_77.h5,modality_1,random_walker_dark_inverted_component_1,1.007215,0.102356,0.241701,1.000000,1.000000,0.976514,0.825005,0.214765,0.000000
volume_296_slice_45.h5,modality_3,random_walker_dark_inverted_component_1,0.998017,0.228747,0.208715,1.000000,1.000000,0.911918,0.658880,0.224594,0.000000
volume_26_slice_104.h5,modality_1,adaptive_21_7_inverted_component_2,1.006970,0.072222,0.231250,1.000000,1.000000,0.980964,0.830004,0.196512,0.000000
volume_204_slice_41.h5,modality_3,multi_otsu_class_1_normal_component_11,0.994946,0.000000,0.010104,1.000000,1.000000,0.944930,0.771301,0.064126,0.000000
volume_267_slice_76.h5,modality_2,adaptive_21_7_inverted_component_2,1.004636,0.046498,0.236163,1.000000,1.000000,0.968812,0.751718,0.186283,0.000000
volume_350_slice_68.h5,modality_0,adaptive_21_7_inverted_component_2,1.003330,0.102571,0.249410,1.000000,1.000000,0.954279,0.689314,0.203756,0.000000
volume_293_slice_97.h5,modality_1,multi_otsu_class_2_normal_component_1,1.003469,0.371639,0.238698,1.000000,1.000000,0.959431,0.679797,0.191085,0.000000
volume_64_slice_67.h5,modality_0,multi_otsu_class_1_normal_component_1,1.001295,0.024197,0.219236,1.000000,1.000000,0.956790,0.697903,0.155524,0.000000
volume_335_slice_97.h5,modality_2,random_walker_dark_inverted_component_1,1.008062,0.107185,0.248628,1.000000,1.000000,0.978311,0.818602,0.226305,0.000000
volume_279_slice_82.h5,modality_3,adaptive_31_5_inverted_component_2,1.003890,0.219005,0.223507,1.000000,1.000000,0.968234,0.745310,0.173101,0.000000
volume_212_slice_74.h5,modality_3,adaptive_21_7_inverted_component_2,1.005984,0.110591,0.229306,1.000000,1.000000,0.974474,0.780984,0.196265,0.000000
volume_129_slice_78.h5,modality_2,adaptive_21_7_inverted_component_2,1.004667,0.035781,0.241372,1.000000,1.000000,0.979363,0.771657,0.155254,0.000000
volume_305_slice_102.h5,modality_3,random_walker_dark_inverted_component_1,1.007200,0.208275,0.235399,1.000000,1.000000,0.975497,0.799835,0.217515,0.000000
volume_341_slice_47.h5,modality_2,random_walker_dark_inverted_component_1,0.997324,0.016167,0.204028,1.000000,1.000000,0.906547,0.659195,0.226833,0.000000
volume_220_slice_63.h5,modality_2,adaptive_31_5_inverted_component_4,1.002444,0.026933,0.232292,1.000000,1.000000,0.957168,0.676681,0.177371,0.000000
volume_30_slice_129.h5,modality_1,multi_otsu_class_0_inverted_component_1,1.003740,0.004722,0.095590,1.000000,1.000000,0.954610,0.738663,0.210979,0.000000
volume_6_slice_117.h5,modality_0,chan_vese_normal_component_1,1.008008,0.138476,0.166997,1.000000,1.000000,0.972921,0.788989,0.241390,0.000000
volume_10_slice_98.h5,modality_3,otsu_normal_component_1,1.007882,0.073062,0.249740,1.000000,1.000000,0.979552,0.814799,0.218979,0.000000
volume_187_slice_120.h5,modality_3,chan_vese_normal_component_1,1.005160,0.028253,0.154236,1.000000,1.000000,0.959905,0.759720,0.223483,0.000000
volume_230_slice_132.h5,modality_3,multi_otsu_class_0_inverted_component_1,0.970835,0.069348,0.012517,1.000000,1.000000,0.732734,0.347363,0.218502,0.000000
volume_260_slice_56.h5,modality_3,random_walker_dark_inverted_component_1,1.005475,0.126667,0.231597,1.000000,1.000000,0.969025,0.814284,0.202425,0.000000
volume_312_slice_126.h5,modality_2,morphological_snakes_normal_component_1,0.997924,0.000000,0.010816,1.000000,1.000000,0.964017,0.685336,0.066424,0.000000
volume_323_slice_75.h5,modality_0,adaptive_21_7_inverted_component_2,1.006419,0.262142,0.249323,1.000000,1.000000,0.975989,0.804915,0.200416,0.000000
volume_291_slice_59.h5,modality_3,multi_otsu_class_1_normal_component_1,1.002725,0.041095,0.226528,1.000000,1.000000,0.962709,0.759164,0.166381,0.000000
volume_320_slice_115.h5,modality_3,otsu_normal_component_1,1.006747,0.004503,0.196632,1.000000,1.000000,0.971709,0.797545,0.219809,0.000000
volume_237_slice_48.h5,modality_1,random_walker_dark_inverted_component_1,0.992058,0.146883,0.206372,1.000000,1.000000,0.877269,0.580205,0.209346,0.000000
volume_339_slice_88.h5,modality_0,adaptive_21_7_inverted_component_2,1.005727,0.210320,0.248194,1.000000,1.000000,0.975814,0.749473,0.187089,0.000000
volume_124_slice_39.h5,modality_0,multi_otsu_class_0_inverted_component_3,1.001183,0.000000,0.019792,1.000000,1.000000,0.960497,0.777692,0.142177,0.000000
volume_120_slice_122.h5,modality_1,multi_otsu_class_0_inverted_component_1,1.007208,0.075061,0.162830,1.000000,1.000000,0.982362,0.818914,0.197074,0.000000
volume_168_slice_115.h5,modality_1,random_walker_dark_inverted_component_1,1.007458,0.087216,0.206823,1.000000,1.000000,0.973158,0.837087,0.229688,0.000000
volume_296_slice_51.h5,modality_0,random_walker_dark_inverted_component_1,1.001698,0.278754,0.231250,1.000000,1.000000,0.941483,0.739095,0.209511,0.000000
volume_51_slice_95.h5,modality_0,chan_vese_normal_component_1,1.004483,0.219210,0.246545,1.000000,1.000000,0.965941,0.682380,0.191841,0.000000
volume_222_slice_105.h5,modality_0,random_walker_dark_inverted_component_1,1.006754,0.074612,0.221285,1.000000,1.000000,0.966391,0.795890,0.235913,0.000000
volume_133_slice_81.h5,modality_0,adaptive_21_7_inverted_component_2,1.006208,0.163799,0.228003,1.000000,1.000000,0.980461,0.811808,0.182770,0.000000
volume_208_slice_91.h5,modality_1,adaptive_21_7_inverted_component_2,1.005626,0.204107,0.233472,1.000000,1.000000,0.976807,0.783329,0.182104,0.000000
volume_151_slice_128.h5,modality_0,multi_otsu_class_0_inverted_component_1,1.009421,0.068070,0.088247,1.000000,1.000000,0.965044,0.745404,0.293286,0.000000
volume_54_slice_65.h5,modality_0,otsu_normal_component_1,1.003198,0.164305,0.246302,1.000000,1.000000,0.955609,0.722325,0.197130,0.000000
volume_118_slice_92.h5,modality_2,adaptive_21_7_inverted_component_2,1.003281,0.059075,0.237691,1.000000,1.000000,0.969351,0.583169,0.157562,0.000000
volume_139_slice_82.h5,modality_1,adaptive_21_7_inverted_component_2,1.004811,0.045013,0.246840,1.000000,1.000000,0.968823,0.742528,0.189747,0.000000
volume_147_slice_114.h5,modality_3,multi_otsu_class_0_inverted_component_1,1.010529,0.041101,0.193038,1.000000,1.000000,0.979114,0.840778,0.273240,0.000000
volume_276_slice_118.h5,modality_0,multi_otsu_class_0_inverted_component_1,1.006951,0.052474,0.151198,1.000000,1.000000,0.949252,0.720000,0.291258,0.000000
volume_245_slice_91.h5,modality_2,adaptive_21_7_inverted_component_2,1.009022,0.043528,0.238056,1.000000,1.000000,0.983722,0.831471,0.229266,0.000000
volume_200_slice_76.h5,modality_1,adaptive_41_3_inverted_component_2,1.001425,0.021846,0.246302,1.000000,1.000000,0.949596,0.531192,0.179708,0.000000
volume_138_slice_101.h5,modality_1,random_walker_dark_inverted_component_1,1.010961,0.266546,0.230764,1.000000,1.000000,0.981711,0.823502,0.274087,0.000000
volume_299_slice_86.h5,modality_3,adaptive_21_7_inverted_component_2,1.005008,0.199305,0.213368,1.000000,1.000000,0.974629,0.788112,0.176271,0.000000
volume_192_slice_113.h5,modality_0,chan_vese_normal_component_1,1.005188,0.154767,0.178472,1.000000,1.000000,0.964715,0.771670,0.209622,0.000000
volume_277_slice_107.h5,modality_0,random_walker_dark_inverted_component_1,1.006763,0.002800,0.248021,1.000000,1.000000,0.973752,0.804583,0.213997,0.000000
volume_148_slice_110.h5,modality_3,watershed_inverted_component_1,1.006461,0.084475,0.201406,1.000000,1.000000,0.973747,0.837048,0.207978,0.000000
volume_171_slice_78.h5,modality_1,adaptive_21_7_inverted_component_2,1.005375,0.158698,0.235712,1.000000,1.000000,0.970936,0.769803,0.194701,0.000000
volume_335_slice_78.h5,modality_2,adaptive_21_7_inverted_component_2,1.004650,0.159728,0.224306,1.000000,1.000000,0.966932,0.746541,0.192209,0.000000
volume_202_slice_99.h5,modality_0,watershed_inverted_component_1,1.003779,0.011953,0.249826,1.000000,1.000000,0.950764,0.617784,0.223293,0.000000
volume_105_slice_50.h5,modality_3,random_walker_dark_inverted_component_1,0.997728,0.095280,0.214826,1.000000,1.000000,0.916912,0.646456,0.203833,0.000000
volume_232_slice_71.h5,modality_3,adaptive_41_3_inverted_component_2,1.003155,0.177317,0.163247,1.000000,1.000000,0.976037,0.824821,0.134991,0.000000
volume_305_slice_132.h5,modality_0,otsu_normal_component_1,0.996599,0.361192,0.023872,1.000000,1.000000,0.898993,0.509540,0.234999,0.000000
volume_281_slice_88.h5,modality_2,adaptive_41_3_inverted_component_2,1.008438,0.165129,0.242205,1.000000,1.000000,0.984881,0.840906,0.214124,0.000000
